attempts,marks
1,1
2,2
3,3
4,4
5,2
6,1
7,5
8,3
9,4
10,2
11,0
12,1
13,0
14,1
15,2
16,2
17,0
18,0
19,1
20,0
21,0
22,0
23,0
24,0
25,0
26,1
27,0
28,1
29,0
30,0
31,0
32,0
33,1
34,0
35,0
36,1
37,1
38,0
39,1
40,1
41,0
42,0
43,1
44,0
45,0
46,1
47,1
48,1
49,2
